"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15","cada tarefa possui os campos obrigatórios com os tipos corretos","chromium","2026-04-13","passed","2026-04-13","Contratos de API > GET /tasks","api-contracts.spec.ts","",""
"","418","persiste o estado de desconclusão após recarregar a página","chromium","2026-04-13","passed","2026-04-13","Conclusão de Tarefa","task-completion.spec.ts","",""
"","12","retorna 404 ao excluir tarefa inexistente","chromium","2026-04-13","passed","2026-04-13","Contratos de API > DELETE /tasks/:id","api-contracts.spec.ts","",""
"","804","ACESSIBILIDADE-002: campo de título da tarefa não possui label associado","chromium","2026-04-13","passed","2026-04-13","Acessibilidade (WCAG 2.1 AA)","accessibility.spec.ts","",""
"","44","retorna 400 quando isCompleted não é um booleano","chromium","2026-04-13","failed","2026-04-13","Contratos de API > PATCH /tasks/:id","api-contracts.spec.ts","",""
"","291","não cria tarefa quando o título está vazio","chromium","2026-04-13","passed","2026-04-13","Criação de Tarefa","task-creation.spec.ts","",""
"","326","tarefa excluída não reaparece após recarregar a página","chromium","2026-04-13","passed","2026-04-13","Exclusão de Tarefa","task-deletion.spec.ts","",""
"","333","gerador de IA e formulário de tarefa estão visíveis no estado vazio","chromium","2026-04-13","passed","2026-04-13","Estado Vazio","empty-state.spec.ts","",""
"","43","retorna 204 ao excluir uma tarefa existente","chromium","2026-04-13","passed","2026-04-13","Contratos de API > DELETE /tasks/:id","api-contracts.spec.ts","",""
"","6190","exibe mensagem de erro quando a API de IA atinge timeout","chromium","2026-04-13","failed","2026-04-13","Tratamento de Erros > Erros na geração por IA","error-handling.spec.ts","",""
"","5623","exibe mensagem de estado vazio quando não há tarefas","chromium","2026-04-13","failed","2026-04-13","Estado Vazio","empty-state.spec.ts","",""
"","325","nova tarefa aparece sem recarregar a página (atualização otimista)","chromium","2026-04-13","passed","2026-04-13","Criação de Tarefa","task-creation.spec.ts","",""
"","276","indicador de carregamento é exibido durante o carregamento inicial","chromium","2026-04-13","passed","2026-04-13","Estado Vazio","empty-state.spec.ts","",""
"","6","retorna 400 quando o campo título está ausente","chromium","2026-04-13","passed","2026-04-13","Contratos de API > POST /tasks","api-contracts.spec.ts","",""
"","5572","botão de geração é desabilitado durante o carregamento para evitar requisições duplicadas","chromium","2026-04-13","failed","2026-04-13","Tratamento de Erros > Erros na geração por IA","error-handling.spec.ts","",""
"","340","marca tarefa como concluída com feedback visual","chromium","2026-04-13","passed","2026-04-13","Conclusão de Tarefa","task-completion.spec.ts","",""
"","344","nova tarefa não é marcada como concluída por padrão","chromium","2026-04-13","passed","2026-04-13","Criação de Tarefa","task-creation.spec.ts","",""
"","7","retorna 400 quando a apiKey está ausente","chromium","2026-04-13","passed","2026-04-13","Contratos de API > POST /ai/generate","api-contracts.spec.ts","",""
